# cell_data_id, row_data_id, sheet_config_id, Submission Date, Submitted By, ExperimentID, SiteID, StrainID, SourceID, BatchID, DATETIME, Sample Time, Hours After Innoc _Batch_, Days After Innoc _Batch_, Experiment Duration _Days_, PondID, Depth _cm_, pH _manual_, Salinity _manual_, Temp _manual_, NO3 -N mg_L _1_, NO3 -N mg_L _2_, NO3 -N mg_L _3_, NO3 -N mg_L Avg, NO3 -N mg_L Stdev, NO3 -N mg_L RSD, PO4 mg P_L dup1, PO4 mg P_L dup2, PO4 - P mg _L dup3, PO4 - P mg_L Avg, PO4 mg P_L Stdev, PO4 mg P_L RSD, N_P, Analytical Sample Pulled _1 - yes_ blank-no_, Volume Pulled for Analytical Sample _L_, Analytical Sample ID, Freeze Dried Biomass for Analytical _g_, TrackingID, filter ID dup 1, filter ID dup 2, filter ID dup 3, mL filtered dup 1, mL filtered dup 2, mL filtered dup 3, filter _g_ dup 1, filter _g_ dup 2, filter _g_ dup 3, filter + biomass _g_ dup 1, filter + biomass _g_ dup 2, filter + biomass _g_ dup 3, filter + ash _g_ dup 1, filter + ash _g_ dup 2, filter + ash _g_ dup 3, biomass _g_ dup 1, biomass _g_ dup 2, biomass _g_ dup 3, ash _g_ dup 1, ash _g_ dup 2, ash _g_ dup 3, dw _g_L_ dup 1, dw _g_L_ dup 2, dw _g_L_ dup 3, Average DW _g_L_, STDEV DW, RSD DW, afdw _g_L_ dup 1, afdw _g_L_ dup 2, afdw _g_L_ dup 3, Average AFDW _g_L_, STDEV AFDW, RSD AFDW, %ASH dup 1, %ASH dup 2, %ASH dup 3, %ASH, initials, Optical Density Dilution Multiplication Factor, OD750 dup 1, OD750 dup 2, OD750 dup 3, Average OD750, OD750 %RSD, lnOD, OD750 Initials
12717, 153396, 10, 2015-02-04 00:00:00, Ed Wolfrum, UFSSummer2014, FA, LRB-AZ-1201, , 1201_07212014_FA, 2014-09-05 10:00:00, 1899-12-31 10:00:00, 1095.99999999994, 45.6666666666642, 45.6666666666642, POND5, 24.3, 7.97, 0.4, 24.5, 112, , , 112, , , , , , , , , , , , , , , B8, O10, O20, 30, 30, 30, 1.4359, 1.43, 1.4197, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2, 0.274, 0.276, 0.275, 0.55, 0.181818181818182, -0.59783700075562, 
12716, 153395, 10, 2015-02-04 00:00:00, Ed Wolfrum, UFSSummer2014, FA, LRB-AZ-1201, , 1201_07212014_FA, 2014-09-04 13:00:00, 1899-12-31 13:00:00, 1074.99999999994, 44.7916666666642, 44.7916666666642, POND5, 24.8, 7.97, 0.4, 29, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12715, 153394, 10, 2015-02-04 00:00:00, Ed Wolfrum, UFSSummer2014, FA, LRB-AZ-1201, , 1201_07212014_FA, 2014-09-04 08:00:00, 1899-12-31 08:00:00, 1070.00000000006, 44.5833333333358, 44.5833333333358, POND5, 24.3, 7.97, 0.4, 24.1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2, 0.21, 0.211, 0.211, 0.421333333333333, 0.137029336041842, -0.864330992943444, 
12714, 153393, 10, 2015-02-04 00:00:00, Ed Wolfrum, UFSSummer2014, FA, LRB-AZ-1201, , 1201_07212014_FA, 2014-09-03 18:00:00, 1899-12-31 18:00:00, 1056, 44, 44, POND5, 24.8, 7.96, 0.4, 32.1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12713, 153392, 10, 2015-02-04 00:00:00, Ed Wolfrum, UFSSummer2014, FA, LRB-AZ-1201, , 1201_07212014_FA, 2014-09-03 09:15:00, 1899-12-31 09:15:00, 1047.24999999994, 43.6354166666642, 43.6354166666642, POND5, , , , , 107, , , 107, , , , , , , , , , , , , , , 28A, C1, O13, 48.5, 46.3, 49, 1.5398, 1.4357, 1.4169, 1.5446, 1.4404, 1.4218, 1.5399, 1.4358, 1.417, 0.00479999999999992, 0.00469999999999993, 0.0048999999999999, 9.9999999999989e-05, 9.9999999999989e-05, 9.9999999999989e-05, 0.0989690721649467, 0.0969072164948439, 0.10103092783505, 0.0989690721649467, 0.00206185567010286, 2.08333333333314, 0.0969072164948439, 0.094845360824741, 0.0989690721649467, 0.0969072164948439, 0.00206185567010287, 2.12765957446789, 2.08333333333314, 2.12765957446788, 2.04081632653043, 2.08393641144382, , 2, 0.15, 0.15, 0.15, 0.3, 0, -1.20397280432594, 
12712, 153391, 10, 2015-02-04 00:00:00, Ed Wolfrum, UFSSummer2014, FA, LRB-AZ-1201, , 1201_07212014_FA, 2014-09-03 08:00:00, 1899-12-31 08:00:00, 1046.00000000006, 43.5833333333358, 43.5833333333358, POND5, 24.2, 8.01, 0.4, 24.7, 120, , , 120, , , , , , , , , , , , FA 9/3 P5, , 958, B6, 8A, X19, 21, 22.5, 21.5, 1.4337, 1.5402, 1.4203, 1.438, 1.5448, 1.4246, 1.4339, 1.5404, 1.4204, 0.00429999999999997, 0.00459999999999994, 0.00430000000000019, 0.000199999999999978, 0.000199999999999978, 0.000100000000000211, 0.204761904761903, 0.219047619047616, 0.204761904761914, 0.209523809523811, 0.00824786098841925, 3.93647910810916, 0.195238095238095, 0.209523809523808, 0.199999999999999, 0.201587301587301, 0.00727392967453226, 3.60832731886248, 4.65116279069719, 4.3478260869561, 2.32558139535364, 3.77485675766898, , 4, 0.158, 0.156, 0.157, 0.628, 0.159235668789809, -0.465215112513938, 
12711, 153390, 10, 2015-02-04 00:00:00, Ed Wolfrum, UFSSummer2014, FA, LRB-AZ-1201, , 1201_07212014_FA, 2014-09-02 15:00:00, 1899-12-31 15:00:00, 1029, 42.875, 42.875, POND5, 24.5, 7.99, 0.4, 33.4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12710, 153389, 10, 2015-02-04 00:00:00, Ed Wolfrum, UFSSummer2014, FA, LRB-AZ-1201, , 1201_07212014_FA, 2014-09-02 08:30:00, 1899-12-31 08:30:00, 1022.49999999994, 42.6041666666642, 42.6041666666642, POND5, 24.3, 7.97, 0.4, 25.3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 4, 0.129, 0.129, 0.129, 0.516, 0, -0.661648513500574, 
12709, 153388, 10, 2015-02-04 00:00:00, Ed Wolfrum, UFSSummer2014, FA, LRB-AZ-1201, , 1201_07212014_FA, 2014-09-01 17:00:00, 1899-12-31 17:00:00, 1007.00000000006, 41.9583333333358, 41.9583333333358, POND5, 24.3, 7.99, 0.4, 32.7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12708, 153387, 10, 2015-02-04 00:00:00, Ed Wolfrum, UFSSummer2014, FA, LRB-AZ-1201, , 1201_07212014_FA, 2014-09-01 09:15:00, 1899-12-31 09:15:00, 999.249999999942, 41.6354166666642, 41.6354166666642, POND5, , , , , 109, , , 109, , , , , , , , , , , , , , , X17, S2, Z9, 30, 29, 32, 1.4362, 1.4165, 1.411, 1.441, 1.421, 1.4159, 1.4365, 1.4167, 1.4112, 0.00480000000000014, 0.00449999999999995, 0.0048999999999999, 0.000300000000000189, 0.000199999999999978, 0.000199999999999978, 0.160000000000005, 0.149999999999998, 0.16333333333333, 0.157777777777778, 0.00693888666488753, 4.39788591436534, 0.149999999999998, 0.143333333333332, 0.156666666666664, 0.149999999999998, 0.00666666666666593, 4.444444444444, 6.25000000000376, 4.44444444444401, 4.08163265306085, 4.92535903250287, , 4, 0.109, 0.108, 0.109, 0.434666666666667, 0.132825982175528, -0.833175825163648, 
